Supercharger,Street Address,City,State,Zip,Country,Stalls,kW,Elevation_m,Open Date,Latitude,Longitude,Registration_Count
"Mt. Shasta - 134 Morgan Way, CA",134 Morgan Way,Mt. Shasta,CALIFORNIA,96067,USA,16,150.0,1070,2018-01-04 00:00:00,41.310348,-122.316039,1256646
"Baker City, OR",1 Sunridge Ln,Baker City,OREGON,97814,USA,8,150.0,1044,2015-06-25 00:00:00,44.782849,-117.812422,64361
"San Diego - Qualcomm, CA",10105 Pacific Heights Blvd,San Diego,CALIFORNIA,92121,USA,12,150.0,88,2015-06-08 00:00:00,32.902137,-117.193489,1256646
"The Dalles, OR",2114 W 6th,The Dalles,OREGON,97058,USA,5,150.0,45,2014-08-01 00:00:00,45.611964,-121.208526,64361
"Valdosta, GA",2112 W Hill Ave,Valdosta,GEORGIA,31601,USA,8,250.0,61,2020-10-11 00:00:00,30.81732,-83.320889,92368
"Ozark, AR",3202 Pence Ln,Ozark,ARKANSAS,72949,USA,8,250.0,160,2020-09-04 00:00:00,35.5238,-93.8636,7108
"Cupertino - Stevens Creek Blvd, CA",20745 Stevens Creek Blvd,Cupertino,CALIFORNIA,95014,USA,28,250.0,76,2020-11-17 00:00:00,37.324722,-122.03684,1256646
"Elizabeth, NJ",651 Kapkowski Rd,Elizabeth,NEW JERSEY,7201,USA,16,250.0,6,2020-08-25 00:00:00,40.662806,-74.173611,134753
"Newark - Old Baltimore Pike, DE",865 S Old Baltimore Pike,Newark,DELAWARE,19702,USA,8,250.0,19,2023-03-17 00:00:00,39.642686,-75.729226,8435
"San Clemente - Av. Vista Hermosa, CA",990 Avenida Vista Hermosa,San Clemente,CALIFORNIA,92673,USA,16,250.0,124,2020-10-01 00:00:00,33.463091,-117.60783,1256646
"St. Johnsbury, VT",2000 Memorial Drive,St. Johnsbury,VERMONT,5819,USA,8,250.0,179,2022-09-30 00:00:00,44.460841,-72.014819,7816
"Placerville, CA",3968 Missouri Flat Rd,Placerville,CALIFORNIA,95667,USA,8,250.0,528,2021-05-15 00:00:00,38.709815,-120.842293,1256646
"Patterson - Speno Dr, CA",2959 Speno Dr,Patterson,CALIFORNIA,95363,USA,8,250.0,60,2020-08-29 00:00:00,37.466496,-121.174403,1256646
"Goldsboro, NC",1001 N Spence Ave,Goldsboro,NORTH CAROLINA,27530,USA,8,250.0,33,2020-12-31 00:00:00,35.386452,-77.948309,70164
"San Diego - Balboa Mesa, CA",5617 Balboa Av,San Diego,CALIFORNIA,92111,USA,16,250.0,112,2020-11-18 00:00:00,32.818922,-117.179792,1256646
"Flemington, NJ",20 NJ-31,Flemington,NEW JERSEY,8822,USA,8,250.0,48,2021-05-06 00:00:00,40.505245,-74.851828,134753
"Crystal River, FL",509 US-19,Crystal River,FLORIDA,34429,USA,8,250.0,3,2021-05-06 00:00:00,28.899556,-82.586778,254878
"Jacksonville - Philips Hwy, FL",5735 Philips Hwy,Jacksonville,FLORIDA,32216,USA,12,250.0,7,2021-07-23 00:00:00,30.265516,-81.617034,254878
"Baltimore - McHenry Row, MD",1641 Whetstone Way,Baltimore,MARYLAND,21230,USA,8,72.0,6,2018-10-25 00:00:00,39.268454,-76.59925,72139
"Granada Hills, CA",10823 Zelzah Ave,Granada Hills,CALIFORNIA,91344,USA,20,250.0,317,2020-12-24 00:00:00,34.266172,-118.524155,1256646
"Canoe Creek, FL",Mile Post 229 Florida Turnpike,Canoe Creek,FLORIDA,34760,USA,8,250.0,25,2022-01-08 00:00:00,28.094603,-81.27413,254878
"Wells, NV",1440 6th St,Wells,NEVADA,89835,USA,8,250.0,1721,2021-01-02 00:00:00,41.101369,-114.956259,47361
"Hermitage, PA",2381 S Hermitage Rd,Hermitage,PENNSYLVANIA,16148,USA,8,150.0,420,2017-09-05 00:00:00,41.201068,-80.455205,70154
"Cedar City, UT",5249 West 3650 South,Cedar City,UTAH,84720,USA,16,250.0,1678,2020-12-23 00:00:00,37.606299,-113.161244,39998
"Van Buren, AR",500 Pointer Trail,Van Buren,ARKANSAS,72956,USA,6,250.0,165,2021-03-19 00:00:00,35.458391,-94.356308,7108
"Yakima, WA",121 N Fair Ave,Yakima,WASHINGTON,98901,USA,8,250.0,317,2021-03-30 00:00:00,46.608814,-120.491244,152101
"Loomis, CA",6119 Horseshoe Bar Rd,Loomis,CALIFORNIA,95650,USA,8,250.0,115,2021-04-02 00:00:00,38.817444,-121.189472,1256646
"Salem, VA",1340 West Main St,Salem,VIRGINIA,24153,USA,8,150.0,317,2019-11-15 00:00:00,37.289384,-80.079866,84936
"Naples - Tarpon Bay Blvd, FL",2415 Tarpon Bay Blvd,Naples,FLORIDA,34119,USA,8,250.0,5,2021-09-08 00:00:00,26.271106,-81.739504,254878
"Dublin - Dublin Blvd, CA",2800 Dublin Blvd,Dublin,CALIFORNIA,94568,USA,10,150.0,109,2021-10-29 00:00:00,37.703993,-121.852249,1256646
